Err:510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full path,Parent folder,Dataset,ROI,Color,X,Y,Z,T,C,X (global),Y (global),Z (global),Box width,Box height,Box depth,Contour,Interior,Sphericity (%),Roudness (%),Convexity (%),Max. Feret diam.,Ellipse (a),Ellipse (b),Ellipse (c),Yaw angle,Pitch angle,Roll angle,Elongation ratio,Flatness ratio (3D),Min. ch 0,Avg. ch 0,Max. ch 0,Sum ch 0,Std. dev. ch 0,Angular second moment ch 0,Contrast ch 0,Entropy ch 0,Homogeneity ch 0,Min. ch 1,Avg. ch 1,Max. ch 1,Sum ch 1,Std. dev. ch 1,Angular second moment ch 1,Contrast ch 1,Entropy ch 1,Homogeneity ch 1,Min. ch 2,Avg. ch 2,Max. ch 2,Sum ch 2,Std. dev. ch 2,Angular second moment ch 2,Contrast ch 2,Entropy ch 2,Homogeneity ch 2,Perimeter (µm) ,Area (µm2) ,Surface area (µm2) ,Volume (µm3) 
/home/hengji/DeepLabCut/examples/videos,videos,hy78clip5.avi,Polygon2D,,156.056578050443,69.4349011588275,ALL,ALL,ALL,156.056578050443,69.4349011588275,ALL,93.4826371414193,32.5868142929039,N/A,208.888710429623,1372.5,62.8703878844813,8.99040348329342,76,743.311509395624,637.389486287662,196.041952687655,N/A,171.890385544006,0,0,3.25129125449585,N/A,1,98.579364430162,255,151846724,92.5988380707063,N.A.,N.A.,N.A.,N.A.,1,98.579364430162,255,151846724,92.5988380707063,N.A.,N.A.,N.A.,N.A.,1,98.579364430162,255,151846724,92.5988380707063,N.A.,N.A.,N.A.,N.A.,1671.10968343698,87840,N.A.,N.A.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Err:510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Full path,Parent folder,Dataset,ROI,Color,X,Y,Z,T,C,X (global),Y (global),Z (global),Box width,Box height,Box depth,Contour,Interior,Sphericity (%),Roudness (%),Convexity (%),Max. Feret diam.,Ellipse (a),Ellipse (b),Ellipse (c),Yaw angle,Pitch angle,Roll angle,Elongation ratio,Flatness ratio (3D),Min. ch 0,Avg. ch 0,Max. ch 0,Sum ch 0,Std. dev. ch 0,Angular second moment ch 0,Contrast ch 0,Entropy ch 0,Homogeneity ch 0,Min. ch 1,Avg. ch 1,Max. ch 1,Sum ch 1,Std. dev. ch 1,Angular second moment ch 1,Contrast ch 1,Entropy ch 1,Homogeneity ch 1,Min. ch 2,Avg. ch 2,Max. ch 2,Sum ch 2,Std. dev. ch 2,Angular second moment ch 2,Contrast ch 2,Entropy ch 2,Homogeneity ch 2,Perimeter (µm) ,Area (µm2) ,Surface area (µm2) ,Volume (µm3) 
--,--,hy78clip5.avi - binning=8 + Active contours,Contour (Polygon2D),,164.393791844187,72.5842970176506,ALL,0,ALL,164.393791844187,72.5842970176506,ALL,99.9039087615753,45.1323749103107,N/A,253.705168151047,1527.5,54.6092519203219,4.68177808552763,56,793.009457698961,665.023630898283,270.724778482308,N/A,171.890385544006,0,0,2.45645645967993,N/A,1,59.2452830188679,248,97340,39.7547269470417,0.000526109108953,983.268308595651,7.74966650735497,0.122469439146481,1,59.2452830188679,248,97340,39.7547269470417,0.000526109108953,983.268308595651,7.74966650735497,0.122469439146481,1,59.2452830188679,248,97340,39.7547269470417,0.000526109108953,983.268308595651,7.74966650735497,0.122469439146481,2029.64134520838,97760,N.A.,N.A.
--,--,hy78clip5.avi - binning=8 + Active contours,Object #1,,164.457194899818,72.632058287796,ALL,1,ALL,164.457194899818,72.632058287796,ALL,100.005827152186,45.3729743244559,N/A,254.390862245333,1531,54.5244156717909,4.66216081525751,55,793.009457698961,664.769853825101,274.449826203579,N/A,171.890385544006,0,0,2.42219083546438,N/A,1,59.2282938676381,247,97549,39.671466253122,0.000518861559172,996.12786725233,7.75759025359364,0.122968811839867,1,59.2282938676381,247,97549,39.671466253122,0.000518861559172,996.12786725233,7.75759025359364,0.122968811839867,1,59.2282938676381,247,97549,39.671466253122,0.000518861559172,996.12786725233,7.75759025359364,0.122968811839867,2035.12689796266,97984,N.A.,N.A.
--,--,hy78clip5.avi - binning=8 + Active contours,Object #1,,164.194461538462,72.7421538461538,ALL,2,ALL,164.194461538462,72.7421538461538,ALL,100.449458432191,45.5082135629661,N/A,254.997418161823,1509.5,54.0114339407765,4.30137157798518,55,793.453212231194,663.900204101725,272.334630627037,N/A,171.890385544006,0,0,2.43781043407196,N/A,1,61.3846153846154,246,99750,41.8880751555462,0.000549501122006,1068.93282719921,7.73925331326909,0.122053598816788,1,61.3846153846154,246,99750,41.8880751555462,0.000549501122006,1068.93282719921,7.73925331326909,0.122053598816788,1,61.3846153846154,246,99750,41.8880751555462,0.000549501122006,1068.93282719921,7.73925331326909,0.122053598816788,2039.97934529458,96608,N.A.,N.A.
--,--,hy78clip5.avi - binning=8 + Active contours,Object #1,,163.817672682016,72.849408836341,ALL,3,ALL,163.817672682016,72.849408836341,ALL,100.428906235541,45.7497820179203,N/A,254.505997105743,1492,53.8011208113505,3.89850313509582,55,793.453212231194,661.892546379039,272.36771645705,N/A,171.890385544006,0,0,2.43014317184472,N/A,2,62.1300560049782,246,99843,43.2750844004513,0.000549631398533,1137.25325760107,7.72736223633121,0.123104857640297,2,62.1300560049782,246,99843,43.2750844004513,0.000549631398533,1137.25325760107,7.72736223633121,0.123104857640297,2,62.1300560049782,246,99843,43.2750844004513,0.000549631398533,1137.25325760107,7.72736223633121,0.123104857640297,2036.04797684594,95488,N.A.,N.A.
--,--,hy78clip5.avi - binning=8 + Active contours,Object #1,,163.760449157829,72.9956331877729,ALL,4,ALL,163.760449157829,72.9956331877729,ALL,100.337725569758,45.9842776838105,N/A,254.628262663132,1489,53.7211961478819,3.63521524619977,55,793.453212231194,661.222713537111,271.965955123593,N/A,171.890385544006,0,0,2.43127016849085,N/A,2,62.1285090455396,247,99592,43.6107486388541,0.000537399897797,1142.5650862791,7.74602896776005,0.122500837710687,2,62.1285090455396,247,99592,43.6107486388541,0.000537399897797,1142.5650862791,7.74602896776005,0.122500837710687,2,62.1285090455396,247,99592,43.6107486388541,0.000537399897797,1142.5650862791,7.74602896776005,0.122500837710687,2037.02610130506,95296,N.A.,N.A.
--,--,hy78clip5.avi - binning=8 + Active contours,Object #1,,163.645283018868,72.9314465408805,ALL,5,ALL,163.645283018868,72.9314465408805,ALL,100.201166151561,45.4800174418076,N/A,253.058368653924,1474.5,53.7906282199997,3.6818721311732,55,793.453212231194,660.495263269962,268.502188755668,N/A,171.890385544006,0,0,2.45992506180648,N/A,2,63.5377358490566,247,101025,44.958354145278,0.000540437769436,1179.29177225883,7.73952587039172,0.12394423324845,2,63.5377358490566,247,101025,44.958354145278,0.000540437769436,1179.29177225883,7.73952587039172,0.12394423324845,2,63.5377358490566,247,101025,44.958354145278,0.000540437769436,1179.29177225883,7.73952587039172,0.12394423324845,2024.46694923139,94368,N.A.,N.A.
