Dataset,ROI,X,Y,Z,T,C,X (global),Y (global),Z (global),Box width,Box height,Box depth,Contour,Interior,Sphericity (%),Roudness (%),Convexity (%),Max. Feret diam.,Ellipse (a),Ellipse (b),Ellipse (c),Yaw angle,Pitch angle,Roll angle,Elongation ratio,Min. ch 0,Avg. ch 0,Max. ch 0,Sum ch 0,Std. dev. ch 0,Angular second moment ch 0,Contrast ch 0,Entropy ch 0,Homogeneity ch 0,Min. ch 1,Avg. ch 1,Max. ch 1,Sum ch 1,Std. dev. ch 1,Angular second moment ch 1,Contrast ch 1,Entropy ch 1,Homogeneity ch 1,Min. ch 2,Avg. ch 2,Max. ch 2,Sum ch 2,Std. dev. ch 2,Angular second moment ch 2,Contrast ch 2,Entropy ch 2,Homogeneity ch 2
hy63.avi (crop) + Active contours,Object #1,341.309314019468,264.742791899248,ALL,270,ALL,1369.30931401947,532.742791899248,ALL,519.468367809608,347.210734354109,N/A,2056.45870530479,42429,35.5071926896064,11.4694123030908,43,528.357833291038,432.644953344194,215.80932780749,N/A,156.926081934369,0,0,2.00475557632119,7,57.3950500530516,118,2488305,18.2497657705273,0.002211460664793,11.1411874102498,6.49182599912779,0.423373302070931,7,57.3950500530516,118,2488305,18.2497657705273,0.002211460664793,11.1411874102498,6.49182599912779,0.423373302070931,7,57.3950500530516,118,2488305,18.2497657705273,0.002211460664793,11.1411874102498,6.49182599912779,0.423373302070931
hy63.avi (crop) + Active contours,Object #1,341.223739009718,264.501110596946,ALL,271,ALL,1369.22373900972,532.501110596946,ALL,521.457152850895,347.286271858038,N/A,2060.65489325037,42288,35.3759604911743,11.4585737268946,43,530.136774804389,433.621433420862,216.070532456297,N/A,156.926081934369,0,0,2.00685132068422,7,57.500994909764,117,2485193,18.2280155168121,0.002224820934263,11.336393748487,6.49241923577131,0.422793127164175,7,57.500994909764,117,2485193,18.2280155168121,0.002224820934263,11.336393748487,6.49241923577131,0.422793127164175,7,57.500994909764,117,2485193,18.2280155168121,0.002224820934263,11.336393748487,6.49241923577131,0.422793127164175
hy63.avi (crop) + Active contours,Object #1,341.255500289185,264.533048004627,ALL,272,ALL,1369.25550028918,532.533048004627,ALL,523.431211499652,347.385624200706,N/A,2068.16181276035,42290.5,35.2485963162983,11.3789131630342,43,532.663120555572,434.800683083427,216.274217853529,N/A,156.926081934369,0,0,2.01041385052145,7,57.4944129554656,118,2485196,18.2401656085703,0.002210296561767,11.3225252244966,6.49407467291923,0.421693772153834,7,57.4944129554656,118,2485196,18.2401656085703,0.002210296561767,11.3225252244966,6.49407467291923,0.421693772153834,7,57.4944129554656,118,2485196,18.2401656085703,0.002210296561767,11.3225252244966,6.49407467291923,0.421693772153834
hy63.avi (crop) + Active contours,Object #1,341.257743414047,264.586763276078,ALL,273,ALL,1369.25774341405,532.586763276078,ALL,524.485209050273,347.451447575005,N/A,2073.92702210278,42259,35.1375170776765,11.3167157910637,43,534.027152867717,436.164304575924,216.544662434053,N/A,156.926081934369,0,0,2.01420021012411,6,57.4996296124821,121,2483869,18.2292259385902,0.002228784641885,11.3344046887555,6.49012818981221,0.423732136582333,6,57.4996296124821,121,2483869,18.2292259385902,0.002228784641885,11.3344046887555,6.49012818981221,0.423732136582333,6,57.4996296124821,121,2483869,18.2292259385902,0.002228784641885,11.3344046887555,6.49012818981221,0.423732136582333
hy63.avi (crop) + Active contours,Object #1,341.708370899508,264.731280486395,ALL,274,ALL,1369.70837089951,532.731280486395,ALL,525.972002867453,347.432824310216,N/A,2083.29393900902,42315.5,35.002907481964,11.2620699388208,43,535.42132942198,437.334939635678,216.897306474671,N/A,156.926081934369,0,0,2.01632259406019,7,57.442101856347,119,2484773,18.2730288114146,0.002226860773741,11.3316498117839,6.49182631602809,0.423066641656724,7,57.442101856347,119,2484773,18.2730288114146,0.002226860773741,11.3316498117839,6.49182631602809,0.423066641656724,7,57.442101856347,119,2484773,18.2730288114146,0.002226860773741,11.3316498117839,6.49182631602809,0.423066641656724
hy63.avi (crop) + Active contours,Object #1,342.912975484108,264.677521733131,ALL,275,ALL,1370.91297548411,532.677521733131,ALL,527.549604512185,347.50515520518,N/A,2135.16046647314,42516,34.2334454735001,11.3484104955177,43,537.752731280837,438.692471637683,215.588720243416,N/A,156.926081934369,0,0,2.03485818340758,8,57.3225932569799,119,2492501,18.3004115747535,0.002219343850136,11.3042492718219,6.49565092753201,0.421949128969788,8,57.3225932569799,119,2492501,18.3004115747535,0.002219343850136,11.3042492718219,6.49565092753201,0.421949128969788,8,57.3225932569799,119,2492501,18.3004115747535,0.002219343850136,11.3042492718219,6.49565092753201,0.421949128969788
hy63.avi (crop) + Active contours,Object #1,342.581865082107,264.739837398374,ALL,276,ALL,1370.58186508211,532.739837398374,ALL,526.496756360438,347.344274740249,N/A,2114.03263677879,42463,34.5540200674544,11.3177920029071,42,537.17501803416,438.721049474946,216.087756234169,N/A,156.926081934369,0,0,2.03029110543179,8,57.3491789308828,116,2490044,18.2947701125056,0.002219280220447,11.2838100837866,6.49416748688405,0.423121422543808,8,57.3491789308828,116,2490044,18.2947701125056,0.002219280220447,11.2838100837866,6.49416748688405,0.423121422543808,8,57.3491789308828,116,2490044,18.2947701125056,0.002219280220447,11.2838100837866,6.49416748688405,0.423121422543808
hy63.avi (crop) + Active contours,Object #1,342.108663526369,264.824905329269,ALL,277,ALL,1370.10866352637,532.824905329269,ALL,526.349931551536,347.342019467473,N/A,2109.42450963539,42353,34.5846219988117,11.2454121251119,42,537.378823550017,439.264190161784,216.460478972586,N/A,156.926081934369,0,0,2.02930434343821,7,57.4109171515655,118,2486352,18.2621513654344,0.002249017804473,11.2324353003596,6.48988578563859,0.424558129969359,7,57.4109171515655,118,2486352,18.2621513654344,0.002249017804473,11.2324353003596,6.48988578563859,0.424558129969359,7,57.4109171515655,118,2486352,18.2621513654344,0.002249017804473,11.2324353003596,6.48988578563859,0.424558129969359
hy63.avi (crop) + Active contours,Object #1,341.625696773447,264.824447785359,ALL,278,ALL,1369.62569677345,532.824447785359,ALL,526.456530247013,347.272007565149,N/A,2109.11824090828,42287,34.5626825237935,11.242630334548,42,537.79178126855,439.578555458897,216.928629094475,N/A,156.926081934369,0,0,2.02637409960054,8,57.4512085116225,116,2483903,18.2257218215525,0.002232044630302,11.2145510159493,6.49390944596363,0.422464312965462,8,57.4512085116225,116,2483903,18.2257218215525,0.002232044630302,11.2145510159493,6.49390944596363,0.422464312965462,8,57.4512085116225,116,2483903,18.2257218215525,0.002232044630302,11.2145510159493,6.49390944596363,0.422464312965462
hy63.avi (crop) + Active contours,Object #1,341.122432419901,264.851254231001,ALL,279,ALL,1369.1224324199,532.851254231001,ALL,526.898902178754,347.143292541478,N/A,2110.59670522471,42183,34.4959736671735,11.167520482919,41,538.424553674886,440.047957783016,217.491215581003,N/A,156.926081934369,0,0,2.0232907182365,9,57.5152779709742,116,2480864,18.1882472776311,0.002266105059361,11.1572788294208,6.48618729883335,0.425562047973312,9,57.5152779709742,116,2480864,18.1882472776311,0.002266105059361,11.1572788294208,6.48618729883335,0.425562047973312,9,57.5152779709742,116,2480864,18.1882472776311,0.002266105059361,11.1572788294208,6.48618729883335,0.425562047973312
hy63.avi (crop) + Active contours,Object #1,343.004393228448,265.427937252737,ALL,280,ALL,1371.00439322845,533.427937252737,ALL,528.818554468372,347.322377150351,N/A,2117.00814034658,42517,34.5273868402663,11.1354765529459,41,540.937149768806,441.624789491558,218.33055121409,N/A,156.926081934369,0,0,2.02273473426314,8,57.2801545680375,116,2490312,18.3125408301307,0.002246105882732,11.352649628864,6.49248784399599,0.424392380061013,8,57.2801545680375,116,2490312,18.3125408301307,0.002246105882732,11.352649628864,6.49248784399599,0.424392380061013,8,57.2801545680375,116,2490312,18.3125408301307,0.002246105882732,11.352649628864,6.49248784399599,0.424392380061013
hy63.avi (crop) + Active contours,Object #1,342.494697039565,265.409549940053,ALL,281,ALL,1370.49469703956,533.409549940054,ALL,528.797394128939,348.140495561649,N/A,2118.14087620523,42416,34.4679096464322,11.1107304131819,41,540.937149768806,441.40177278722,219.122935775566,N/A,156.926081934369,0,0,2.01440242311887,9,57.3409111869409,117,2486990,18.2715166008944,0.002245808123676,11.3050591033249,6.49169710624009,0.423266161658683,9,57.3409111869409,117,2486990,18.2715166008944,0.002245808123676,11.3050591033249,6.49169710624009,0.423266161658683,9,57.3409111869409,117,2486990,18.2715166008944,0.002245808123676,11.3050591033249,6.49169710624009,0.423266161658683
