scorer,DeepCut_resnet50_clip2Mar15shuffle1_172000,DeepCut_resnet50_clip2Mar15shuffle1_172000,DeepCut_resnet50_clip2Mar15shuffle1_172000,DeepCut_resnet50_clip2Mar15shuffle1_172000,DeepCut_resnet50_clip2Mar15shuffle1_172000,DeepCut_resnet50_clip2Mar15shuffle1_172000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
0,1351.581059217453,1364.8110481500626,0.9998832941055298,868.8175975680351,1585.1515054702759,0.9999561309814453
1,1351.1553914546967,1363.6518673598766,0.9999324083328247,867.2307597398758,1589.3377338647842,0.9999279975891113
2,1351.5975759029388,1362.4883122444153,0.9998964071273804,854.0937123298645,1601.6055560112,0.99928879737854
3,1351.1031546592712,1359.7792558670044,0.99968421459198,835.0535140633583,1617.278728723526,0.9991594552993774
4,1350.5103707313538,1359.03799533844,0.9996377229690552,818.3399044275284,1630.0240168571472,0.9992455244064331
5,1352.1004605293274,1356.1393667310476,0.9997348189353943,803.9479984343052,1635.886673502624,0.9998743534088135
6,1353.6443581581116,1354.7815172672272,0.9996498823165894,793.7028822898865,1642.7158757448196,0.9995682835578918
7,1353.5083956718445,1352.3307781219482,0.9997369647026062,785.4179480075836,1647.583517074585,0.9997015595436096
8,1353.6669871807098,1351.68683218956,0.9997662901878357,776.1667308807373,1649.5587246418,0.9999843835830688
9,1354.478415966034,1350.4565489292145,0.9998998641967773,771.2624170780182,1654.1633372306824,0.9999755620956421
10,1355.1465792655945,1348.967819571495,0.9998661279678345,764.6533032655716,1656.6194808483124,0.9997029900550842
11,1355.6643546521664,1348.23955963552,0.9997342228889465,759.1546704769135,1659.6534853875637,0.9999778270721436
12,1356.4235924780369,1348.0592569187284,0.9996254444122314,753.5839710235596,1663.0625793933868,0.9999126195907593
13,1356.9785985350609,1347.5855152904987,0.9995835423469543,748.7005195617676,1664.0953261852264,0.9999499320983887
14,1357.2796280384064,1347.535473048687,0.9984477758407593,744.2318062782288,1664.4261236190796,0.9999758005142212
