scorer,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000,DeepCut_resnet50_testpoke2Mar14shuffle1_27000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
0,395.83386828005314,414.30772161483765,0.9991973042488098,774.3098731040955,828.3039255142212,0.9996957778930664
1,395.9867190932855,414.1182336807251,0.9990100860595703,774.0771355628967,828.302038192749,0.9997026324272156
2,395.6644994020462,413.6846618652344,0.9987995624542236,774.1768176555634,828.6179366111755,0.9997285008430481
3,395.9656538963318,413.8758271932602,0.9991564750671387,774.0396699905396,828.3485898971558,0.9997105002403259
4,396.6199007034302,413.49519515037537,0.9992901086807251,774.0113558769226,828.3679223060608,0.9997085928916931
5,394.24166917800903,415.08897590637207,0.9994524121284485,774.2498717308044,828.3717017173767,0.9996628761291504
6,393.52344036102295,414.97438383102417,0.9996028542518616,773.8794995546341,828.5084290504456,0.9997077584266663
7,395.0196714401245,413.6785497665405,0.9996695518493652,773.7793111801147,828.4426913261414,0.9997590184211731
8,394.9006175994873,413.1735484600067,0.9996373653411865,774.1323087215424,828.3232188224792,0.9997256398200989
9,394.30520582199097,412.9409762620926,0.9997296929359436,774.2254765033722,828.161491394043,0.9996227025985718
10,393.3267216682434,412.42839854955673,0.9997624754905701,774.2538113594055,828.5520524978638,0.9996976852416992
11,392.1358780860901,412.7058472633362,0.9998428821563721,774.033088684082,828.6728625297546,0.9997615218162537
12,391.6942632198334,412.04321793839335,0.9998729228973389,774.2081303596497,828.5053019523621,0.9997656941413879
13,391.42437767982483,412.47199365496635,0.999915361404419,773.94340467453,828.8220181465149,0.9997771382331848
14,390.63345527648926,412.21592020988464,0.9999089241027832,774.1652131080627,828.7685780525208,0.9997178912162781
