scorer,DeepCut_resnet50_testpoke4Mar14shuffle1_21000,DeepCut_resnet50_testpoke4Mar14shuffle1_21000,DeepCut_resnet50_testpoke4Mar14shuffle1_21000,DeepCut_resnet50_testpoke4Mar14shuffle1_21000,DeepCut_resnet50_testpoke4Mar14shuffle1_21000,DeepCut_resnet50_testpoke4Mar14shuffle1_21000
bodyparts,hypostone,hypostone,hypostone,peduncle,peduncle,peduncle
coords,x,y,likelihood,x,y,likelihood
0,635.7028287947178,382.150022983551,0.9988357424736023,557.1555783748627,678.2943987846375,0.9989235997200012
1,635.2153369188309,382.36733961105347,0.9987066984176636,557.0544502735138,677.5922169685364,0.9989094734191895
2,634.1933908462524,382.9638121128082,0.9986359477043152,556.6231958866119,677.6596797704697,0.9991555213928223
3,633.735481262207,382.2778720855713,0.9990363121032715,557.0827124118805,677.5421426296234,0.9990678429603577
4,633.5277557373047,381.0672734975815,0.9991316199302673,557.1490310430527,677.5016821622849,0.9990288019180298
5,633.1660151481628,380.6476353406906,0.999366819858551,556.3425129652023,677.1273814439774,0.9992625117301941
6,632.5056467056274,379.3569326400757,0.9993293285369873,556.066088989377,676.5221171975136,0.9991447925567627
7,631.6587977409363,378.1573339700699,0.9995348453521729,555.6247115135193,676.5798045992851,0.9991759657859802
8,631.3422017097473,377.3207802772522,0.9994192123413086,556.1249121800065,676.4365120530128,0.9992899894714355
9,631.4598135948181,377.16291761398315,0.9994718432426453,555.7917575538158,676.4568746387959,0.9992315769195557
10,630.9278495311737,376.74856328964233,0.9996041655540466,555.1941891908646,676.317648589611,0.9990654587745667
11,630.8298871517181,376.6645917892456,0.9996222257614136,554.6781727075577,676.5136104822159,0.9991070628166199
12,630.9361438751221,376.1921067237854,0.9997180104255676,554.6162083148956,676.6934822201729,0.9991306662559509
13,630.3169949054718,375.77679657936096,0.9997557997703552,554.3838443756104,675.7875020205975,0.999265730381012
14,630.1938593387604,375.38211154937744,0.9997711777687073,554.2617197036743,677.2274270057678,0.999232292175293
